## 1. 초등 6학년 추천도서 (수학, 사회, 과학)

### 수학
어린 왕자와 알록달록 숲속 친구들 (에이치비 / 한국독서지도회, 2018)
왜? 하고 물으면 과학이 답해요 : 화학 (정성욱 외 / 다락원, 2018)
자연사 박물관 : 생명 관찰 실험실 (DK 자연사 박물관 편집 위원회 / 비룡소, 2018)
지구가 좌충우돌 (오주영 / 상상의집, 2018)
처음 만나는 야생화 그림책 : 가을 / 봄·여름 (마에다 마유미 / 길벗스쿨, 2018)
들썩들썩 우르르 쾅! 우리를 위협하는 자연재해 (정영훈 / 뭉치, 2017)
자연재해로부터 탈출하라! (최영준 / 비룡소, 2017)
가장 완벽한 지구책 (조너선 리턴 / 라이카미, 2016)

## 5. 초등 1-2학년 추천도서

### 1학년 (국어, 통합교과)
나는 에벌레일까요? (김용택 / 바우솔, 2019)
엄마의 품 (박철 / 바우솔, 2019)
달려라, 꼬마 (신경림 / 바우솔, 2018)
등교하기 (이시카와 에리카 / 봄개울, 2019)
바다야 미안해 (조월 하퍼 / 썬더키즈, 2019)
학교에 가면 / 내 어깨 위의 새 (시빌 들라크루아 / 소원나무, 2019)
궁금해! 나는 어떻게 태어났을까? (양승현 / 소원나무, 2019)
진정한 챔피언 (파랑 에브라히미 / 모래알, 2019)
형이 형인 까닭은 (선안나 / 봄봄, 2019)

### 2학년 (국어, 통합교과, 안전한 생활)
선택 (다니엘 살미에리 / 북극곰, 2019)
숲에는 길이 많아요 (박경화 / 창비, 2018)
이시도라 문, 생일 파티를 열다 (해리엇 먼캐스터 / 을파소, 2019)
공부만 잘하는 바보 (서지원 / 밝은미래, 2019)
너에게 보여주고 싶어 이 놀라운 세상을 (성도린 카요 / 풀과바람, 2019)
노란 카약 (니나 레이든 / 소원나무, 2018)
소중한 나 : 너의 몸을 사랑하는 방법 (제시카 산더스 / 북멘토, 2019)
나만의 수영 배우기 (이영란 / 풀과바람, 2018)
소중한 우리 : 아니카와 컵을 먹고 자라는 돼지 (루이제 미르디티아 / 우리학교, 2020)
화재 (박승균 / 다림, 2018)

## 6. 초등 3-4학년 사회 교과연계 도서

### 3학년
세계의 국기는 어떻게 만들었을까? (로버트 프레솜 / 바이킹, 2019)
이선비, 지도를 그리다 (세계로동화 황문숙 / 아이세움, 2019)
지도 : 종이 한 장에 담은 넓은 세상 (대동역사기행 / 주니어김영사, 2019)
(정조와 함께 펼쳐보는) 화성행차 (황은주 / 그린북, 2020)
선생님, 3.1운동이 뭐예요? (배성호 외 / 철수와영희, 2019)
슬기로운 인터넷 생활 (나탈리 다르장 / 푸른숲주니어, 2020)
패션, 나를 표현하는 방법 (헬렌 행콕스 / 키다리, 2020)
어린이로 사는 건 너무 힘들어! : 고대 그리스 이야기 (스트레이티 채 / 을파소, 2020)
거꾸로 가족 (신은영 / 단비어린이, 2019)
할머니 주름살이 좋아요 (시모나 치라올로 / 창비, 2019)

### 4학년
우리 동네 골목 풍경 (몽상 / 보리, 2020)
쉿! 비밀투표야! (나탈리 다르장 / 라임, 2019)
지구를 구하는 쓰레기 제로 대작전 (사마 와즈칸 / 토토북, 2020)
어린이를 위한 생산과 이동의 원리 (리비 도이치 / 풀과바람, 2019)
와글와글 어린이 경제 수업 (김세현 / 다림, 2019)
옥수수를 관찰하세요 (크리스티아나 풀치넬리 / 책속물고기, 2019)
우리 학교가 사라진대요! (예영 / 마음이음, 2019)
미래는 어떨까요? (부뤼노 골드만 / 개암나무, 2019)
우리 음식 여행 (김인혜 / 사계절, 2019)
회색 도시를 바꾼 예술가들 (F. 이사벨 캄포이 외 / 보물창고, 2019)

## 7. 초등 5-6학년 국어 교과연계 도서

### 5학년
어쩌다 짝꿍 (이송현 / 마음이음, 2020)
나에게 없는 딱 세 가지 (황선미 / 위즈덤하우스, 2020)
조선의 수학자 홍정하 (이창숙 / 궁리, 2020)
거울폭포와 탐별 (정설아 / 소원나무, 2020)
오로르 - 마음을 읽는 아이 (더글라스 케네디 / 밝은세상, 2020)
Why? People 유관순 (박현종 / 예림당, 2019)
유라시아 라이더 (최지훈, 최정환 / 소원나무, 2019)
너를 빌려줘 (박현숙 / 파랑새, 2019)
경주역사유적지구 (이은석 / 주니어김영사, 2019)
너무 신나는 과학 (리사 리건 / 매직사이언스, 2019)
알고리즘 (플로랑스 피노 / 다림, 2019)
생각의 힘을 길러주는 우리 신화 읽기 (신동엽 외 / 초록비책공방, 2019)
무슨 말이야? (허정숙 / 보리, 2019)

### 6학년
내 말 한마디 (김경란 / 내일을여는책, 2020)
뻔뻔한 우정 (박현숙 / 서유재, 2020)
복회탕의 비밀 (김태호 / 마음이음, 2020)
그날의 기억 (선자은 / 마음이음, 2019)
가짜 뉴스를 시작하겠습니다 (김경옥 / 내일을여는책, 2019)
교과서 속담사전 (이태영 / 좋은꿈, 2019)
난 논술 쓰기가 정말 신나! (조영경 / 스코프, 2019)
진짜 나는 어떤 아이일까 (박은경 / 열린어린이, 2019)
써드 (최영희 / 동아시아사이언스, 2020)
Why? 뉴스와 미디어 (조영선 / 예림당, 2020)
윤서는 할머니와 단둘이 산다 (신배화 / 키위북스, 2020)
도돌이표 가족 (최은영 / 마음이음, 2019)
으랏차차 조선 실록 수호대 (장은영 / 파란자전거, 2019)
나는 설탕으로 만들어지지 않았다 (이은재 / 잇츠북, 2019)
씨스틴 (권윤덕 / 평화를품은책, 2019)
나이트북: 밤의 이야기꾼 (J.A.화이트 / 위너더북, 2019)
봄 여름 가을 겨울 그리고 어린이 (염희경 / 산하, 2019)

## 8. 초등 5-6학년 국어 & 수학 교과연계 도서

### 5학년 국어
스플래시 (찰리 하워드 / 그린북, 2020)
콘텐츠 연구소 집현전입니다 (강승임 / 책속물고기, 2020)
동에 번쩍 서에 번쩍 귀신 잡는 감찰궁녀 (손주현 / 파란자전거, 2021)
신비한 유령박물관 (박현숙 / 이지북, 2021)
나를 표현하는 열두 가지 감정 (임성관 / 책속물고기, 2018)
바흐, 바흐, 이란 (알베르트 크비아트코프스키 / 풀빛, 2022)
모두의 착한 밥상 연구소 (노민영 / 파란자전거, 2021)
우리는 반대합니다! (클라우디오 푸엔테스 / 초록개구리, 2019)
환경을 지키는 지속가능한 패션이야기 (정유리 / 팜파스, 2021)
탄소중립이 뭐예요? (장성익 / 풀빛, 2022)

### 5학년 수학
로로로 초등수학 5학년 (윤병무 / 국수, 2020)
약수와 배수로 유령 선장을 이긴 15소년 (정영훈 / 뭉치, 2020)
피보나치, 수를 배열해 비밀의 방을 탈출하라 (이혜림 / 뭉치, 2020)
곤충과 함께 찾아가는 에너지 대탐험 (서원호 외 / 자음과모음, 2018)

### 6학년 국어
로로로 초등국어 6학년 (윤병무 / 국수, 2020)
어휘력 속담왕 (HR기획 / 효리원, 2020)
옥수수를 관찰하세요 (크리스티아나 풀치넬리 / 책속물고기, 2019)
AI 디케 (노수미 / 마루비, 2021)
맞바꾼 회중시계 (김남중 / 토토북, 2020)
